Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Mahavatar Narsimha,Ashwin Kumar,Animated characters,,,Hombale Films,hindi
2025,So Long Valley,Man Singh,Tridha Choudhury,Akanksha Puri,Vikram Kochhar,Sourya Studios,hindi
2025,Sarzameen,Kayoze Irani,Prithviraj Sukumaran,Kajol,Ibrahim Ali Khan,Star Studios,hindi
2025,Rasa,Angith JayarajPreetish Jayaraj,Shishir Sharma,Rishi Bissa,Vishishtha Chawla,Purnam Films,hindi
2025,Dhadak 2,Shazia Iqbal,Siddhant Chaturvedi,Triptii Dimri,,Zee Studios,hindi
2025,Son of Sardaar 2,Vijay Kumar Arora,Ajay Devgn,Mrunal Thakur,Ravi Kishan,Jio Studios,hindi
2025,Andaaz 2,Suneel Darshan,Aayush Kumar,Akaisha,Natasha Fernandez,Shree Krishna International,hindi
2025,Udaipur Files,Bharat Shrinat,Vijay Raaz,Rajneesh Duggal,Preeti Jhangiani,Jani Firefox Films,hindi
2025,Ghich Pich,Ankur Singla,Nitesh Pandey,Satyajit Sharma,Geeta Agrawal Sharma,Barsaati Films,hindi
2025,War 2,Ayan Mukerji,Hrithik Roshan,N. T. Rama Rao Jr.Kiara Advani,,Yash Raj Films,hindi
2025,Tehran,Arun Gopalan,John Abraham,Neeru Bajwa,Manushi Chhillar,Maddock Films,hindi
2025,Param Sundari,Tushar Jalota,Sidharth Malhotra,Janhvi Kapoor,,Maddock Films,hindi
2025,Songs of Paradise,Danish Renzu,Soni Razdan,Saba Azad,Zain Khan Durrani,Excel Entertainment,hindi
2025,Baaghi 4,A. Harsha,Tiger Shroff,Sanjay Dutt,Sonam Bajwa,Nadiadwala Grandson Entertainment,hindi
2025,The Bengal Files,Vivek Agnihotri,Mithun Chakraborty,Anupam Kher,Puneet Issar,Abhishek Agarwal Arts,hindi
2025,Inspector Zende,Chinmay Mandlekar,Manoj Bajpayee,Jim Sarbh,Bhalchandra Kadam,Northern Lights Films,hindi
2025,Ufff Yeh Siyapaa,G. Ashok,Soham Shah,Nushrratt Bharuccha,Nora Fatehi,Luv Films,hindi
2025,Humans in the Loop,Aranya Sahay,Sonal Madhushankar,Ridhima Singh,Gita Guha,Storiculture,hindi
