Name,Director,Cast,Studio
My Melbourne,Kabir KhanRima DasOnirImtiaz Ali,Ryanna SkyeKat StewartJake RyanArushi SharmaJackson GallagherArka Das,"Screen Australia, VicScreen, Mind Blowing Entertainment, Mind Blowing World, Soundfirm Post Production, Anticlock Films, Flying River Films, Window Seat Films, Kabir Khan Films"
Be Happy,Remo D'Souza,Abhishek BachchanNora FatehiNassarInayat VermaJohnny LeverHarleen Sethi,"Remo D'Souza Entertainment, Amazon Prime Video"
Inn Galiyon Mein,Avinash Das,Vivaan ShahAvantika DassaniJaved Jaffrey,Yadunath Films
Aachari Baa,Hardik Gajjar,Neena GuptaVatsal ShethApoorva AroraKabir Bedi,"Jio Studios, Hardik Gajjar Films, Backbencher Pictures"
Baida,Puneet Sharma,Sudhanshu RaiManisha RaiShobhit Sujay,MNM Entertainment
Tumko Meri Kasam,Vikram Bhatt,Anupam KherIshwak SinghAdah SharmaEsha Deol,Indira Entertainment
Pintu Ki Pappi,Shiv Hare,ShushantJaanyaa JoshiViidhiGanesh AcharyaMurali SharmaVijay Raaz,"Mythri Movie Makers, V2S Production & Entertainment"
Sikandar,AR Murugadoss,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,"Nadiadwala Grandson Entertainment, Salman Khan Films"
Jaat,Gopichand Malineni,Sunny DeolRandeep HoodaRegina CassandraSaiyami Kher,"Mythri Movie Makers, People Media Factory"
Chhorii 2,Vishal Furia,Nushrratt BharucchaSoha Ali KhanGashmeer MahajaniSaurabh GoyalPallavi AjayKuldeep SareenHardika Sharma,"T-Series Films, Abundantia Entertainment, Pshych Film, Tamarisk Lane, Amazon Prime Video"
Kesari Chapter 2,Karan Singh Tyagi,Akshay KumarR. MadhavanAnanya Panday,"Dharma Productions, Cape Of Good Films, Leo Media Collective"
Logout,Amit Golani,Babil KhanRasika DugalGandharv DewanNimisha Nair,"Viacom18 Studios, Posham Pa Pictures, ZEE5"
The Secret of Devkaali,Niraj Chauhan,Niraj ChauhanBhumika GurungMahesh ManjrekarRamkrishan Dhakad,Chauhan Production
Ground Zero,Tejas Prabha Vijay Deoskar,Emraan HashmiSai TamhankarZoya HussainMukesh TiwariLalit Prabhakar,"Excel Entertainment, Dreamzkrraft Entertainment, Talisman Films"
Jewel Thief,Kookie GulatiRobbie Garewal,Saif Ali KhanJaideep AhlawatNikita DuttaKunal Kapoor,"Marflix Pictures, Netflix"
Phule,Anant Mahadevan,Pratik GandhiPatralekha,"Zee Studios, Dancing Shiva Films, Kingsmen Productions"
Oye Bhootni Ke,Ajay Kailash Yadav,Mahaakshay ChakrabortyNikita SharmaDiana KhanAshoka ThackurChahat Mughal,"Sahatyam Films, Vision Motion Films"
