Name,Director,Cast,Studio,Table
Oye Bhootni Ke,Ajay Kailash Yadav,Mahaakshay ChakrabortyNikita SharmaDiana KhanAshoka ThackurChahat Mughal,"Sahatyam Films, Vision Motion Films",4
Raid 2,Raj Kumar Gupta,Ajay DevgnRiteish DeshmukhVaani Kapoor,"T-Series Films, Panorama Studios",4
The Bhootnii,Sidhaant Sachdev,Sanjay DuttMouni RoySunny SinghPalak TiwariBeyounickAasif Khan,"Soham Rockstar Entertainment, Three Dimension Motion Pictures",4
Costao,Sejal Shah,Nawazuddin SiddiquiPriya BapatKishore Kumar GGagan Dev Riar,"Bhanushali Studios, Bombay Fables, ZEE5",4
The Networker,Vikas Kumar Vishwakarma,Vikram KochharDurgesh KumarIshtiyak KhanRishabh PathakBrijendra KalaVindhya TiwariNikhat Khan,"Gutargoo Entertainment, Navritu Films",4
Romeo S3,Guddu Dhanoa,Thakur Anoop SinghPalak Tiwari,"Pen Studios, Wild River Pictures",4
Bhool Chuk Maaf,Karan Sharma,Rajkummar RaoWamiqa Gabbi,"Amazon MGM Studios, Maddock Films",4
Kapkapiii,Sangeeth Sivan,Tusshar KapoorShreyas TalpadeJay ThakkarSiddhi Idnani,"Zee Studios, Bravo Entertainment",4
Pune Highway,Rahul da CunhaBugs Bhargava Krishna,Jim SarbhAmit SadhManjari FadnisKetaki Narayan,"Drop D Films, Ten Years Younger Productions",4
Kesari Veer,Prince Dhiman,Suniel ShettyVivek OberoiSooraj PancholiAkansha Sharma,Chauhan Studios,4
Chidiya,Mehran Amrohi,Vinay PathakAmruta Subhash Svar KambleAyush Pathak,"Smiley Films, Key Media Works",4
Interrogation,Ajoy Varma Raja,Manu SinghRajpal Yadav Darshan JariwalaYashpal SharmGirish Kulkarni,"Aryan Brothers Entertainment Film, Naam Mein Kya Rakha Hai Production, ZEE5",4
Stolen,Karan Tejpal,Abhishek BanerjeeHarish KhannaMia MaelzerSahidur RahamanShubham Vardhan,"Jungle Book Studio, Amazon Prime Video",4
Housefull 5,Tarun Mansukhani,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Nadiadwala Grandson Entertainment,4
Sitaare Zameen Par,R. S. Prasanna,Aamir KhanGenelia Deshmukh,Aamir Khan Productions,4
Detective Sherdil,Ravi Chhabriya,Diljit DosanjhDiana PentyBoman IraniChunky PandayRatna Pathak ShahBanita SandhuSumeet Vyas,"AAZ Films, Offside Entertainment, Maurya Entertainment, ZEE5",4
Maa,Vishal Furia,KajolRonit RoyIndraneil SenguptaKherin Sharma,"Jio Studios, Devgn Films, Panorama Studios",4
Well Done CA Sahab!,Sarvesh Kumar Singh,Gopal DattGaurav PaswalaJyoti KapoorSayandeep SenguptaNishma SoniArchan TrivediMakrand ShuklaSamar JajoriyaSam JajoriyaRama Krishna Dixit,Figures and Frames,4
Metro... In Dino,Anurag Basu,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,"T-Series Films, Anurag Basu Productions",5
Kaalidhar Laapata,Madhumita,Abhishek BachchanDaivik BhagelaMohammed Zeeshan Ayyub,"Zee Studios, Emmay Entertainment, ZEE5",5
Akshardham: Operation Vajra Shakti,Ken Ghosh,Akshaye Khanna Gautam RodeVivek DahiyaAkshay OberoiAbhilash ChaudharyParvin DabasSamir SoniAbhimanyu SinghMir SarwarManjari FadnisChandan RoyShivam Bhaargava,"Zee Studios, Contiloe Pictures",5
Maalik,Pulkit,Rajkummar RaoManushi ChhillarProsenjit Chatterjee,"Tips Industries, Northern Lights Films",5
Aankhon Ki Gustaakhiyan,Santosh Singh,Vikrant MasseyShanaya Kapoor,"Zee Studios, Mini Films",5
Aap Jaisa Koi,Vivek Soni,R. MadhavanFatima Sana Shaikh,"Dharmatic Entertainment, Netflix",5
Saiyaara,Mohit Suri,Ahaan PandayAneet Padda,Yash Raj Films,5
Tanvi the Great,Anupam Kher,Anupam KherShubhangi DuttIain GlenBoman IraniJackie ShroffArvind SwamiPallavi JoshiKaran TackerNassar,"Excel Entertainment, NFDC, Anupam Kher Studio",5
Nikita Roy,Kussh Sinha,Sonakshi SinhaArjun RampalParesh RawalSuhail Nayyar,"Nicky Vicky Bhagnani Films, Kratos Entertainment, Nikita Pai Films",5
Murderbaad,Arnab Chatterjee,Nakul Roshan SahdevKanikka KapurSharib HashmiAmole GupteSaloni Batra,"Reliance Entertainment, ACjee Entertainment",5
Sant Tukaram,Aditya Om,Subodh BhaveSheena ChohanSanjay MishraArun Govil,Curzon Films,5
Mahavatar Narsimha[α],Ashwin Kumar,Animated characters,"Hombale Films, Kleem Productions",5
So Long Valley,Man Singh,Tridha ChoudhuryAkanksha PuriVikram KochharAlisha ParveenPankaj Choudhary,Sourya Studios,5
Sarzameen,Kayoze Irani,Prithviraj SukumaranKajolIbrahim Ali Khan,"Star Studios, Dharma Productions, JioHotstar",5
Rasa,Angith JayarajPreetish Jayaraj,Shishir SharmaRishi BissaVishishtha ChawlaRajiv Kumar,"Purnam Films, Haroon Rashid Films, Vidya Entertainment",5
Dhadak 2,Shazia Iqbal,Siddhant ChaturvediTriptii Dimri,"Zee Studios, Dharma Productions, Cloud 9 Pictures",5
Son of Sardaar 2,Vijay Kumar Arora,Ajay DevgnMrunal ThakurRavi Kishan,"Jio Studios, Devgn Films, YRV Studios",5
Andaaz 2,Suneel Darshan,Aayush KumarAkaishaNatasha Fernandez,Shree Krishna International,5
Udaipur Files,Bharat Shrinat,Vijay RaazRajneesh DuggalPreeti JhangianiKanchi SinghKamlesh Sawant,Jani Firefox Films,5
Ghich Pich,Ankur Singla,Nitesh PandeySatyajit SharmaGeeta Agrawal SharmaKabir NandaAryan Singh RanaShhivam Kakar,"Barsaati Films, Platoon One Films",5
War 2,Ayan Mukerji,Hrithik RoshanN. T. Rama Rao Jr.Kiara Advani,Yash Raj Films,5
Tehran,Arun Gopalan,John AbrahamNeeru BajwaManushi Chhillar,"Maddock Films, Bake My Cake Films, ZEE5",5
Param Sundari,Tushar Jalota,Sidharth MalhotraJanhvi Kapoor,Maddock Films,5
Songs of Paradise,Danish Renzu,Soni RazdanSaba AzadZain Khan DurraniSheeba ChaddhaTaaruk Raina,"Excel Entertainment, Renzu Films, Apple Tree Pictures, Amazon Prime Video",5
Baaghi 4,A. Harsha,Tiger ShroffSanjay DuttSonam BajwaHarnaaz Sandhu,Nadiadwala Grandson Entertainment,5
The Bengal Files,Vivek Agnihotri,Mithun ChakrabortyAnupam KherPuneet IssarGovind NamdevBabbu MaanPallavi JoshiPalomi Ghosh,"Abhishek Agarwal Arts, I Am Buddha",5
Inspector Zende,Chinmay Mandlekar,Manoj BajpayeeJim SarbhBhalchandra KadamSachin KhedekarGirija OakHarish Dudhade,"Northern Lights Films, Netflix",5
Ufff Yeh Siyapaa,G. Ashok,Soham ShahNushrratt BharucchaNora FatehiOmkar KapoorSharib Hashmi,Luv Films,5
