Year,Name,Director,Cast_1,Cast_2,Cast_3,Studio,Language
2025,Udaipur Files,Bharat Shrinat,Vijay Raaz, Rajneesh Duggal," Preeti Jhangiani, Kanchi Singh, Kamlesh Sawant",Jani Firefox Films,hindi
2025,Ghich Pich,Ankur Singla,Nitesh Pandey, Satyajit Sharma," Geeta Agrawal Sharma, Kabir Nanda, Aryan Singh Rana, Shhivam Kakar","Barsaati Films, Platoon One Films",hindi
2025,War 2,Ayan Mukerji,Hrithik Roshan, N. T. Rama Rao Jr.Kiara Advani,,Yash Raj Films,hindi
2025,Tehran,Arun Gopalan,John Abraham, Neeru Bajwa, Manushi Chhillar,"Maddock Films, Bake My Cake Films, ZEE5",hindi
2025,Param Sundari,Tushar Jalota,Sidharth Malhotra, Janhvi Kapoor,,Maddock Films,hindi
2025,Songs of Paradise,Danish Renzu,Soni Razdan, Saba Azad," Zain Khan Durrani, Sheeba Chaddha, Taaruk Raina","Excel Entertainment, Renzu Films, Apple Tree Pictures, Amazon Prime Video",hindi
2025,Baaghi 4,A. Harsha,Tiger Shroff, Sanjay Dutt," Sonam Bajwa, Harnaaz Sandhu",Nadiadwala Grandson Entertainment,hindi
2025,The Bengal Files,Vivek Agnihotri,Mithun Chakraborty, Anupam Kher," Puneet Issar, Govind Namdev, Babbu Maan, Pallavi Joshi, Palomi Ghosh","Abhishek Agarwal Arts, I Am Buddha",hindi
2025,Inspector Zende,Chinmay Mandlekar,Manoj Bajpayee, Jim Sarbh," Bhalchandra Kadam, Sachin Khedekar, Girija Oak, Harish Dudhade","Northern Lights Films, Netflix",hindi
2025,Ufff Yeh Siyapaa,G. Ashok,Soham Shah, Nushrratt Bharuccha," Nora Fatehi, Omkar Kapoor, Sharib Hashmi",Luv Films,hindi
2025,Humans in the Loop,Aranya Sahay,Sonal Madhushankar, Ridhima Singh, Gita Guha,"Storiculture, Museum of Imagined Futures, SAUV Films",hindi
2025,Heer Express,Umesh Shukla,Divita Juneja, Ashutosh Rana," Sanjay Mishra, Gulshan Grover, Prit Kamani","Tulip Entertainment, Divisa Entertainment, Merry Go Round Studios",hindi
2025,Love in Vietnam,Rahat Shah Kazmi,Shantanu Maheshwari, Avneet Kaur, Khả Ngân,"Zee Studios, Blue Lotus Creatives, Innovations India, Rahat Kazmi Film Studios, Zebaish Entertainment, Tariq Khan Productions, Mango Tree Entertainment",hindi
2025,Ek Chatur Naar,Umesh Shukla,Divya Khosla Kumar, Neil Nitin Mukesh,,"T-Series Films, Merry Go Round Studios",hindi
